"","prod","title","author","date","ver.purchase","format","stars","comments","helpful"
"746","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","The worst cellphone never","E. Marzo","August 25, 2017",0,"Size: Galaxy S8",1,"The worst cellphone never!! The display says that is gorilla glass. It crashes for nothing and strikes with something simple that the earings.Never gonna buy this again!!",2
"747","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","Died in a month. No local option for repairs","Raj","September 15, 2017",1,"Size: Galaxy S8",1,"bricked in a month!!! Need to now ship it to repair center in Texas, minimum of 3 weeks process for repairs :(",5
"748","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","NOT HEADHPHONES","Amazon Customer","August 19, 2017",1,"Size: Galaxy S8",4,"Not headphones arrived, what happen??",3
"749","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","Five Stars","Nino","September 23, 2017",1,"Size: Galaxy S8",5,"Nice",1
"750","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","phone battery is quickly discharged.","agjg1111","September 26, 2017",1,"Size: Galaxy S8",4,"phone battery is quickly discharged. I am using minimum apps but still discharging faster than I expected when bought this phone",NA
"751","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","Two Stars","Gabe","December 24, 2017",1,"Size: Galaxy S8",2,"Not charging",1
"752","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","Problems to order","Iheanyichukwu","October 14, 2017",0,"Size: Galaxy S8",1,"Causing problems with my order",1
"753","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","No Phone","Javier G.","December 25, 2017",1,"Size: Galaxy S8",1,"Bought for my wife for christmas was delayed for 2 days then when i recieved it i opeened it there was no phone inside only a charger amd owners manual",2
"754","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","phone is NOT unlocked, as in the user does NOT have root.","alpine","September 12, 2017",1,"Size: Galaxy S8+",3,"phone is NOT unlocked as in you do NOT have root permission on the phone.this indicates there are applications (bloat ware) still installed and eating up battery, with potential security holes.other than that the phone is very good.absolute must is a big strong case for this phone, it is VErY fragile.",3
"755","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","Very Fast.... but the battery needs ...","Agenor Marrero","September 2, 2017",1,"Size: Galaxy S8",4,"Very Fast ....but the battery needs to be more ./...",1
"756","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","Five Stars","shari thomas","September 2, 2017",0,"Size: Galaxy S8+",5,"I want a sample or trial period for this item",NA
"757","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","Five Stars","Kingsley H.","September 2, 2017",1,"Size: Galaxy S8",5,"Out of this World Excellent",NA
"758","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","Five Stars","Oumou","September 1, 2017",0,"Size: Galaxy S8+",5,"I would love a free sample of this product that my friends and others can see.",NA
"759","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","But otherwise I like it","Amazon Customer","August 6, 2017",1,"Size: Galaxy S8",4,"Its a little hard to get use to compared to the s5 I had. But otherwise I like it",3
"760","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","Five Stars","HENDER ALBERTO MERCADO MOLINA","September 22, 2017",1,"Size: Galaxy S8+",5,"Thank you.  All be ok.",NA
"761","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","There is no explanation why my good working iphone 5s did not qualify for trade in ...","Feen","August 21, 2017",0,"Size: Galaxy S8",1,"I was enticed by Samsung's $200 trade in program. Sent them my perfectly working iPhone 5s. But Samsung charged me $175 to my card and mentioned that my phone does not qualify for the $200 rebate program. This is a bait and switch program by samsung. There is no explanation why my good working iphone 5s did not qualify for trade in program.Be aware of this samsung's trade in program! They are fraudulently charging credit cards based on this trade in program.",4
"762","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","Save Your Money","DFW mom","August 27, 2017",0,"Size: Galaxy S8+",1,"My first new smartphone purchase since the S6. and I can't say I'd recommend it. It is *huge* and heavy. My small hands grow sore after only a few minutes of holding it while lying in bed. Its a burden to carry in my handbag and doesn't fit easily in my pants pocket. The most annoying feature is Bixby. The placement of the button wasn't well thought out and there is no way to disable this feature. The straw that broke the camel's back was the constant freezing up of my screen even with light use and minimal downloaded apps. Downgraded to an S7.",1
"763","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","Five Stars","Ramon Alfonso","October 12, 2017",1,"Size: Galaxy S8+",5,"Best cellphone ever",NA
"764","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","It's going back","Tj","August 7, 2017",1,"Size: Galaxy S8+",2,"Didn't work for me. I took this phone to too different Metro PCS locations and they both said the same thing, no signal and activation won't go through.",11
"765","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","One Star","M. Jameson","September 3, 2017",0,"Size: Galaxy S8",1,"Get Bixby off of the phone",NA
"766","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","ONLY GOT A BOX WITH NO PHONE IN IT","Francis Paul R. Valdes","November 27, 2017",1,"Size: Galaxy S8+",1,"Package arrived today with the s8+ BOX and all (charger etc) BUT NO PHONE. I AM SO DISAPPOINTED. Payed this much for just a box! THINK TWICE BEFORE BUYING OR END UP HAVING A BAD TIME. Hoping for a replacement or at least a refund because I purchased a phone NOT JUST A BOX.",8
"767","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","Four Stars","Vincent","August 14, 2017",1,"Size: Galaxy S8",4,"Great phone, screw bixby.",NA
"768","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","Headache and disappointment","Cate Murphy","November 19, 2017",1,"Size: Galaxy S8",1,"This phone has been way below expectation.  This my third galaxy and this one already has to be sent back for repair.  I've had it 2 weeks and to send it for repair. Will require almost 2 weeks.I'm a business owner so really????  Perhaps friends are right...should have gone to an I phone 8.",2
"769","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","Cherry phone","Quintin carvalho","September 26, 2017",1,"Size: Galaxy S8+",5,"Cherry",NA
"770","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","Five Stars","Amazon Customer","August 27, 2017",1,"Size: Galaxy S8",5,"It DOPE,IT REALLY DIFFERENT",NA
"771","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","Three Stars","Jenina","October 11, 2017",1,"Size: Galaxy S8",3,"screen protector scratches easily, and the edges do not bend enough for the curved screen.",NA
"772","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","One Star","Adeyemoh Mohammed","October 22, 2017",1,"Size: Galaxy S8",1,"Phone not powering. If I could give it a no star I would have...",1
"773","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","One Star","xman69","August 30, 2017",0,"Size: Galaxy S8",1,"i'd rather have my flip phone",NA
"774","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","Ygb","Kaniet Oskonbaev","September 23, 2017",1,"Size: Galaxy S8",5,"Th h",NA
"775","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","Defective","Kara Williams","July 26, 2017",0,"Size: Galaxy S8",1,"Does not work! No caller ID all phone calls show up as unavailable, no voicemail or texting of pictures. Carrier says it is a defective phone and something to do with the way it is unlocked.",2
"776","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","so so","Noali Garrido","August 21, 2017",1,"Size: Galaxy S8+",2,"this Samsung terrible sound speaker don't have a good sound, in the max hear distortion, the camera is awfull with low lights or in the night.is a little bit slow considering that have a big processor and enough ram.I try the camera phot and video don't have a good quality.the face recognition don't work with low lights.a big error is putted the volume keys in the left side, is practical in the right side.the battery is low, lost the charge very fast..I did a mistake to buy this expensive cellphone...",5
"777","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","Three Stars","GerryGee","August 13, 2017",1,"Size: Galaxy S8",3,"having trouble when the phone updates other than that the phone is interesting.",1
"778","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","The round aged glass is horrible! It is very nice but a nightmare in ...","Denise Ishibashi","September 20, 2017",1,"Size: Galaxy S8",1,"The round aged glass is horrible! It is very nice but a nightmare in trying to keep the glass protected and using a phone case . Because its round age the glass protectors keep popping off. This is a lot to pay for a phone and have a good case to protect it!!",4
