,stars,comments
44,5," Ce tel est juste une tuerie. La qualité de l'ecran magnifique, fluide d'un jeu a un autre... la gestion de la batterie tient bien par rapport a ce qui se fait chez les autres constructeurs. Hyper content de mon acquisition!!!  Avis complet  "
45,4, J'ai acheté le S8 pour Noel 2017. Il est super. Aucun problème.  Avis complet  
46,5, Je suis en train de découvrir ce petit bijou . Très facile d'utilisation  Avis complet  
47,4," Grosse différence d'autonomie, de rapidité et marre des mises à jour qui ralentisse l'iphone. Sinon un peu perdu au départ mais la prise en main est facile  Avis complet  "
48,1, commande n°400006834 Jamais reçu  Avis complet  
49,5, Livraison très rapide et téléphone reçu en très bon état  Avis complet  
50,4," belle qualité d'écran et de photo, le reste doit être à la hauteur du prix, je l'espère.  Avis complet  "
51,3, Déçu par la taille de l'écran et il se déchargé vite . Sinon côté qualité photos niquel  Avis complet  
52,4, Le produit est conforme a mon attente mais je me suis promis de ne plus revenir dans votre magasin (quel foutoir)  Avis complet  
53,5," Le téléphone est magnifique, l'écran bord à bord rend super bien . Les photos sont subliment, vraiment parfait!  Avis complet  "
54,5, Téléphone très beau et performant. Fidèle à SAMSUNG depuis des années et je ne le regrette pas.  Avis complet  
55,5," J'ai acheté ce Samsung Galaxy 8 64go en couleur orchidée la semaine dernière, il me plait beaucoup il est grave beau très fluide et sa batterie est très bonne pour le moment elle tiens facile la journée en consommation intensive voir même toute la soirée.  Avis complet  "
56,4, J'ai bien aimé les connecteurs  Avis complet  
57,5," Après plusieurs année sous ios , j'ai décidé de passer a la concurrence , et j'avoue que samsung avec son S8 commence à rattraper son retard et il pourrais bien dépasser son concurrent direct Apple .Question qualité/prix vous en aurez pour votre argent , l’écran est au top , bonne connexion au réseau wifi et 3g,4g,4g+,j'ai d'ailleurs une meilleure connexion qu'avec mon ancien Iphone 7,l'appareil photo est bluffant avec de nombreux filtres ,le déverrouillage peu s'effectuer avec votre visage , les iris des yeux ou encore avec le capteur d'empreinte au choix de l'utilisateur .Sympa aussi le rechargement par induction ou avec le cable usb .Bref il est complet et il est personnalisable à souhait ..Merci encore materiel.net  Avis complet  "
58,5, Rien a dire le téléphone est top et super fonctionnel.  Avis complet  
59,5, Super téléphone rien à redire.  Avis complet  
60,5," J'ai acheter ce telephone il y a 2 semaine il est trés rapide et super fonctionnel , je suis satisfais de mon achat sur le site  Avis complet  "
61,5, Rapport qualité/prix excellent chez e-global pour ce merveilleux Samsung S8. Livraison dans les délais annoncés. Que demander de plus? Satisfaction totale en ce qui me concerne. Merci.  Avis complet  
62,5, A éviter de trimbaler dans les manifs et en soiree  Avis complet  
63,4, Bonne qualité et agréable à l'utilisation  Avis complet  
64,5," J'ai acheté ce Galaxy S8 en ligne sur le site il est d'un très bel effet, fonctionne tres bien, facile a mettre en oeuvre.Modele à double sim me permet de n'avoir qu'un seul téléphone et 2 numéros (boulot et perso) ce qui est tres pratique. (photos d'une qualité je vous raconte pas!)  Avis complet  "
65,5, Article reçu avec un peu de retard car cela provient de Hong-kong et par conséquent avec une prise d'alimentation américaine mais avec un adaptateur EU.  Avis complet  
66,5," Un téléphone super beau. Mais attention à vite le protéger car il glisse tellement qu'il peut facilement tomber et se fissurer l'écran. L autonomie de la batterie est excellente et les applications de base avec Samsung health nous aide à suivre notre santé. D'excellente photo et vidéo me détails est impressionnant. Bonne l'utilisation des applications en général donne un petit effet bureautique. Par contre pour les accessoires, à part le chargeur et les écouteurs, je vois pas trop à quoi servent les autres (adaptateur usb)  Avis complet  "
67,5, J'ai acheté cet article le mois dernier et j'en suis très content !  Avis complet  
68,5, La qualité du S8 justifié son prix ! Rien à redire...  Avis complet  
69,4, Colis reçu en avec quelques jours de retard mais portable fonctionne très bien.  Avis complet  
70,5, Facile à utiliser elle répond à mes attentes très rapide je suis satisfait  Avis complet  
71,5," J'ai acheté ce téléphone la semaine dernière. Il est fluide, fonctionnel. Je suis très satisfaite de mon achat.  Avis complet  "
72,5, Livraison ultra rapide et sérieuse. Excellent produit.  Avis complet  
73,5, Pour ce qui est de capter par contre son clavier est moins pratique.  Avis complet  
74,4, En vrai je sais pas vu que c'est un cadeau pour offrir à Noël et que Noël n'est pas encore passé  Avis complet  
75,5, Acheté pour noël je ne m en suis pas encore servi  Avis complet  
76,5, Il excellent je ne regrette pas cette achat moi qui avais toujours eu Apple .  Avis complet  
77,5, Smartphone conforme à mes attentes très rapide beau design ... En revanche pas de facture dans le colis à la livraison  Avis complet  
