,stars,comments
192,5," La mise à jour iOS 11.0.1 de mon iPhone 6S+ à eu pour conséquence de diviser la durée d'utilisation de sa batterie par deux. Le Samsung Galaxy S8 a une batterie qui suffit plus que largement à lui assurer une bonne journée de travail. De plus, le Galaxy S8 donne autant de satisfaction en terme d'agrément à l'usage qu'un iPhone. Aucun regret d'avoir abandonné Apple qui, grâce à son idéologie d'obsolescence programmée, m'a permis de découvrir un produit de grande qualité.  Avis complet  "
193,5, Reçu neuf fonctionne parfaitement  Avis complet  
194,5," Galaxy S8 sous scelle ! Au top , léger retard à la livraison mais très content du produit ! Je recommande fortement !  Avis complet  "
195,5, Simple et pratique a utiliser. Léger et fin. Bonne résolution des couleurs et bon son.  Avis complet  
196,5, Ce téléphone est super. Samsung ne me déçoit jamais mais par contre la lecture d'empreinte derrière est une chose dont on doit bien s'habituer. Sinon je suis complètement satisfaite de mon achat. A voir si il dure dans la durée.  Avis complet  
197,5, Je n'ai jamais mis aussi cher dans un téléphone mais je ne le regrette vraiment pas !  Avis complet  
198,5," Super smartphone, beau design, grand écran, le son est top et l'autonomie me permet de tenir 3jours... Je recommande l'achat chez conforma :)  Avis complet  "
199,4, Du Samsung en gamme premium Je n’ai pas d’autre remarque a formuler  Avis complet  
200,4," Telephone reçu en magasin samedi mais ouvert seulement mercredi parce que destiné à être offert. Résultat bande de garantie déjà arrachée à l'ouverture. Comme nous étions à l'étranger nous n'avons pu contacter le service clientèle de rue du commerce uniquement vendredi et réponse du service clientèle : délai de rétractation de 3 jours après réception du produit dépassé, nous ne pouvons rien faire. Il accepte éventuellement une réclamation vis à vis du transporteur sauf que la bande n'à clairement pas été arrachée par le transporteur vu que le colis ne présentait aucun défaut.  Avis complet  "
201,5, Une vraie qualité d'écran et une fluidité impressionnante. Je suis ravie de ce téléphone. J'ai profité d'une promotion cdiscount car le prix en magasin est vraiment trop cher. Beaucoup de possibilités sur ce téléphone que je découvre encore.  Avis complet  
202,5, Super téléphone très facile à utiliser. Je n'ai pas encore eu le temps de tout voir mais je le recommande.  Avis complet  
203,5, fonctionne très bien rapide super belle photo ne regrette en rien ce produit .  Avis complet  
204,5," on y dort très bien et le prix est très bien, super service après-vente espagnol, le transporteur français avait laissé à quai un des deux matelas, j'ai appelé directement le vendeur qui a tout de suite appelé le transporteur et m'a rappelé en suivant et a tout arrangé de manière très efficace, serviable et très sympathique  Avis complet  "
205,5," Très satisfaite de mon nouveau Samsung S8, bonnes dimensions, qualité de l'image. Le seul défaut l'écran se salit très rapidement. Je recommande ce produit  Avis complet  "
206,5, Superbe téléphone super fonctionnalité très performant beau design . Que des bonnes notes  Avis complet  
207,5," Bien reçu, confore à mes attentes. Merci  Avis complet  "
208,5," J'ai longtemps hésité avant de franchir le cap et d'acheter un téléphone à ce prix mais je ne suis pas déçu. Très ergonomique et fonctionnel, je découvre de nouvelles fonctionnalités tous les jours! Et en plus il est beau...  Avis complet  "
209,3," Trés bon et beau smartphone, mais pas à mon gout . Aprés utilsation de quelque semaine , prise en mains trés laborieuse, surcouche samsung non untuitive.  Avis complet  "
210,5," je suis très satisfaite ce mon Samsung S8 ,il est conforme à ce que j'en attendais.  Avis complet  "
211,5," Acheter pr un cadeau,la personne en est très ravie.Merci Cdiscount.  Avis complet  "
212,5, Je viens de l'acheter et il est parfait. Fonctionnel et finitions parfaites.  Avis complet  
213,5, o top reçu rapidement .  Avis complet  
214,5, SUPER TELEPHONE REÇU DANS LES DELAIS . UN PEU CHER MAIS HONNÊTEMENT ON OUBLIE LE PRIX QUAND ON VOIT LE TELEPHONE  Avis complet  
215,5, Functions tres bien pour les temps merci beaucoup C discont  Avis complet  
216,5," Ayant abandonné mon s7 edge pour le s8, je n'ai aucun regret. L'écran est absolument magnifique et la surface d'affichage est très agréable. La charge rapide est un plus avec Samsung, je recommande vivement ce téléphone.  Avis complet  "
217,5," Je ne regrette pas mon choix, après de longues années chez Apple je me disais que franchir le pas de prendre un Samsung serait peut-etre regrettable..il n'en est rien ce téléphone est de loin le meilleur  Avis complet  "
218,4," Chargeur américain, sinon bien :)  Avis complet  "
219,5, Ce téléphone est parfait léger Appareil photo au top Rien à redire  Avis complet  
220,4, Très bien. Facile à prendre en main. Après j suis pas un grand utilisateur.  Avis complet  
221,5," Téléphone arrivé dans les délais, sans problème. Je recommande +++++  Avis complet  "
222,5, conforme au attente : très bien  Avis complet  
223,4," Seul bémol, le chargeur étranger avec adaptateur. Il est beaucoup trop encombrant...  Avis complet  "
224,5, Le même téléphone quand magasin... mais pas le même prix !  Avis complet  
225,5, très bon produit a voir sur la duré  Avis complet  
226,5, Bon produits je le recommande pour tous le monde  Avis complet  
227,5, Je découvre le Galaxy S8 et il semble au top !!!!!  Avis complet  
228,5," parfait, un téléphone pour téléphoner mais en mieux...  Avis complet  "
229,5, très satisfais comme d' habitude avec Samsung  Avis complet  
230,4, J'ai ce mobile depuis 1 semaine et je suis encore en phase d'apprentissage  Avis complet  
231,5, Beaucoup de gens disent qu'il as beaucoup de défaut mais moi je n'en rencontre aucun  Avis complet  
232,5, 2 autres personnes ont suivi mon exemple et conseil pour vous dire ma satisfaction. Comme moi elles étaient iPhone depuis wé nombreuses années  Avis complet  
233,5, superbe téléphone très pratique de par sa taille et surtout par toutes les possibilités données. Un bijou de technologie .Je découvre tous les jours . très bon investissement et belle couleur .  Avis complet  
234,4, Smartphone d'une très grande facilité d'utilisation. Les applis. installées sont pour la plupart très utiles et très facile d’utilisations. Très bon Smartphone.  Avis complet  
235,5, Parfait Répond à toutes nos exigences Recommandé à tous  Avis complet  
236,5, Rien à redire efficace Reste le prix néanmoins....  Avis complet  
237,5, Rien à dire ces le top rien à voir avec Apple niveau batterie et application je vous le recommande  Avis complet  
238,5, Artice. Conforme et superbe Rien à redire  Avis complet  
239,5, Très bon prix livraison parfaite comme d’habitude.  Avis complet  
240,5, très bon téléphone déjà 2 semaine que je l'ai rien a dire appareil photo juste magnifique  Avis complet  
241,5," Super téléphone, rien à dire. Tout est au top, je recommande !!  Avis complet  "
242,4," Performant et solide, avec une bonne autonomie et des belles photos  Avis complet  "
243,4, Satisfaite de mon achat malgres l autonomie faible comme tous les autres portables  Avis complet  
244,5," Très bon prix bonne qualité, aucun problème sur le téléphone  Avis complet  "
245,5," Ce téléphone n'a que très peu de défauts : - Bouton dédié Bixby qui ne sert à rien (mais qu'on peut maintenant désactiver au moins) - haut parleur de qualité moyenne et non stéréo (par rapport à un iPhone) Par contre, les + : - écran magnifique - finition parfaite, agréable à tenir en main - appareil photo de bonne qualité, même en basse luminosité  Avis complet  "
246,5, Les fonctions sont top et le service livraison nickel !!  Avis complet  
247,4, Je suis très satisfaite de ce Samsung qui ne se voit en rien les attentes en photo/vidéo et qui me permettra un plus large stockage qu'à l' accoutumé. Une déception cependant sur la couleur de l'appareil...soit je n'ai pas reçu le bon modèle soit les photo de l'appareil qui révèlent une teinte rosée sont trompeuses...car mon appareil est plus bleuté que rosé.  Avis complet  
248,5, Super produit tres belle ecran prise photo super vraiment un tre content merciau vendeur de la roche sur qui montres bien conseiller  Avis complet  
249,4," Ce Galaxy est superbe pour commencer. Au niveau design, difficile de faire mieux. La surcouche Android est légère et la plupart des ajouts sont bien pensés. Petit bémol pour Bixby et pour les émoticônes Samsung moins beaux que les nouveaux d'Android...  Avis complet  "
250,5, J'avais le S6 et le S8 est trop fort  Avis complet  
251,5, Je recommande expressément ce produit. Un téléphone magnifiquement réalisé d'une finition exemplaire. Merci a cdiscount pour la rapidité de livraison. Écran hors norme autant sur son côté lumineux que sur sa définition et sa qualité d'image. L'écran du S8 scotche !! Mobile ultra rapide et bourré de gadgets en tous genres. Je ne regrette absolument pas. Personnellement j'avais un S6 classique et c'était celui la qui m'avait redonné l'envie d'un Samsung. De passer du s6 au s8 c'est encore un gouffre technologique incroyable c'est une nouvelle génération de téléphone clairement. Fonctionnel beau puissant et ergonomique. Si on ajoute à ça une autonomie plus que correcte on frôle le téléphone parfait ! Un écran 5.8 pouces qui recouvre presque toute la face avant. Imaginez c'est une taille d'écran plus grande que celle du iPhone 8 plus mais dans un téléphone plus compact! Samsung magicien! Quand on sait que près de la moitié des composants des iPhones proviennent de Samsung (cf article sur le web Samsung touche 15% de la vente de chaque pomme...) on a la affaire à la crème du smartphone. Les mauvaises langues parleront d'Android. Android qui a bien changé et qui ne subit jamais de ralentissements ou autres mais qui permet tellement plus sur iOS.. . Seul bémol avec les écrans incurvés c'est l'application des films de protection pour l'écran c'est très compliqué d'en trouver un qui fasse l'affaire. Je recommande vivement cet achat !  Avis complet  
252,5," J'ai commandé ce téléphone il y a 1 mois, pas cher par rapport aux magasins et franchement il est nickel emballé dans la boite samsung d origine, délai de livraison rapide Je recommande  Avis complet  "
253,5," je suis tres sattisfait de mon achat. pouvoir allier la performance du S8 + avec le confort de n'utiliser qu'un seul telephobe pour ses 2 cartes sim (pro et privé) pour ma part est geniale. on sacrifie la micro sd, mais ce n'est pas gênant quand on a 64 go de memoire interne. La réactivité du téléphone, ses performances ne sont pas affaiblies. je suis très satisfait de mon achat  Avis complet  "
254,5, Colis impeccable reçu en 5 jours.  Avis complet  
255,5," Très contente de ce téléphone, c' est mon premier smartphone et j' en suis ravie. Facile à utiliser et très intuitif.  Avis complet  "
256,5, Un telephone de malade vraiment trés bonne autonomie et une qualité des photoss juste proteger le il a l'aire hyper fragile  Avis complet  
257,4, UN TEL TRÈS CONFORTABLE ET COMPLET MÊME SI MOINS PRATIQUE A MON AVIS DE SON MODÈLE PRÉCÉDENT. LE PRIX QUAND A LUI UN PEU CHER ? MÊME SI BOULANGER OFFRAIT 150€ DE PRIME A LA REPRISE. C EST BIEN DOMMAGE QUE LES MARQUES DE TEL SORTENT DES NOUVEAUX MODÈLES A MOINS DE 1 AN D'INTERVALLE CE QUI POUSSE A LA CONSOMMATION.  Avis complet  
258,5," Trés trés bon téléphone, trés bonne qualité d'image pour les photos et vidéos. Je l'ai amené partout avec moi, dans l'eau ou dans la poussière !!! Pleins d'options et de fonctionnalités. Juste dommage que BIXBY parle uniquement en Anglais (l'assistant du téléphonne -> Comme SIRi )  Avis complet  "
259,5," j ai acheté un téléphone et je suis entrain de l'utiliser , c’est pratique et j en suis heureux  Avis complet  "
260,5," Heureux possesseur d'un Samsung s8. Je suis comblé. Design réussi, qualité au rendez-vous. Processeur puissant et très réactif. La mémoire extraordinaire 64go. Bourré de gadget et applications que je découvre au fur et à mesure. Merci cdiscount pour vos prix attractif et vos délais de livraison.  Avis complet  "
261,5," Rapide, résolution magnifique!  Avis complet  "
262,5, Génial je recommande ce telephone  Avis complet  
263,5," Colis reçu rapidement , conforme à ma commande, fonctionne très bien. Attention la prise du chargeur est un modèle US mais l'adaptateur pour prises françaises est fourni  Avis complet  "
264,5, tel au top.niveau photo ou video .audessus du lot  Avis complet  
265,2, Fragile... vitre arriere cassée au bout de 48h sur un leger choc  Avis complet  
266,3, Autonomie appréciable! Grand écran confortable! Le changement est notable par rapport au samsung S6 ou S7  Avis complet  
267,5, ras produit conforme tres satisfait merci  Avis complet  
268,5, Prise en main facile. Passage de Windows Phone à Android plus aisé que prévu. J'ai pu garder mon GPS avec mes adresses.... Donc super  Avis complet  
269,5, Rien à redire tout était nickel  Avis complet  
270,4, Téléphone excellent rien à dire  Avis complet  
271,5," l'écran est absolument sublime, ça change beaucoup de mon adoré galaxy s7. +++ à recommander sans problèmes  Avis complet  "
272,5," Reçu en temps et en heures, bien emballé, matériel.net est un bon site professionnel. le téléphone est super beau, assez fin, tiens bien en main et à une autonomie correcte même en utilisant régulièrement tous types d'applications. Oui ce n'est pas donné, mais on a rien sans rien  Avis complet  "
273,5, Très bonne reception du portable ce cadeau a ravi mon mari et très bonne communication car j aime envoyé un mail pour demander ou en étais l envoi de mon colis et il m on répondu très rapidement en core merci  Avis complet  
274,5, tres bon produit et la couleur orchidée est tres jolie moi qui d'habitude privilégie le noir cette couleur est au top  Avis complet  
275,5, très contente de mon achat je le conseille  Avis complet  
276,4, Le film de protection est inutile. Il ne sert à rien  Avis complet  
277,5, La livraison est arrivée assez rapidement après la commande. J'en suis très satisfait.  Avis complet  
278,1, Le colis n'est jamais arrivé et impossible de joindre le SAV  Avis complet  
279,5, Reçu dans les temps sans soucis merci  Avis complet  
280,5, Super très bon téléphone et le vendeur de même. Cordialement.  Avis complet  
281,5, bon produit pour le prix je le recommande très satisfais  Avis complet  
282,4, Le produit est conforme à la commande. Les tarifs sont supers concurrentiels et donc attractifs. Toutefois le délai de livraison est trop long et donc lorsque vous etes de passage difficile de passer commande  Avis complet  
283,5, Livraison rapide et sans soucis. Le telephone est arrivé avec un chargeur chinois mais un adaptateur europeen etait dans le paquet. Je recommande!  Avis complet  
284,5," J'ai acheté cet article il y a un peu plus d'une semaine et j'en suis très satisfait, il est fonctionnel, ergonomique et répond à toutes mes attentes. Récupérer en magasin. Super rapide.  Avis complet  "
285,3," Je regrette le Samsung s7 . Avec cet appareil, j'ai déjà un problème au niveau de l'optique de l'appareil photo. Pour écrire il n'est pas évident.  Avis complet  "
286,4," j'ai pris ce tel pour remplacé un huawei p9 lite. je ne suis pas déçu. il est réactif, écran magnifique, appareil photo superbe. l'autonomie est un de ses point faible, mais contrebalancé par une charge rapide. package complet, adaptateur usb c micro usb et adaptateur usb c usb pour recharger un autre appareil ou transféré les données de son ancien tel sur le nouveau.  Avis complet  "
287,5, Parfaitement conforme a ce que j ai commandé ! Je recommande donc !  Avis complet  
288,5, delai de livraison un peu long et frais de douane que je n ai pas l habitude de payer  Avis complet  
289,5," Excellent téléphone, autonomie top, très satisfait de mon achat !!!!!!!!!!  Avis complet  "
290,5, Ravie de cet achat ! Non seulement il est magnifique mais aussi super à l'utilisation. C'est le top du top . Je vous le recommande vraiment et pourtant j'ai toujours eu des a. ........  Avis complet  
291,5, Livraison un peu longue. Mais heureuse d'avoir reçu mon S8  Avis complet  
292,5, Il es genial. Je suis ravie. Fluide. J'adore Samsung de toute façon.  Avis complet  
293,4," J'ai un galaxy note 4 avec une carte sim mini ce qui veut dire commander chez Free une carte nano 10€ qui ne fonctionne pas dans mon note 4 . Je regrette cette achat, j'aurais dû prendre le note 8. ...  Avis complet  "
294,4," La livraison à été rapide, une semaine. Téléphone d'excellente qualité  Avis complet  "
295,5," facile d'utilisation, très belle image,bonne autonomie,et très bonne qualité de réception.  Avis complet  "
296,5," j'avais un S4, là je suis super ravie  Avis complet  "
297,5, LES + TÉLÉPHONE PARFAIT AVEC DEVEROUILLAGE PAR VISAGE ET/OU EMPREINTES ÉCRAN DE TRÈS BONNE QUALITÉ PHOTOS DE QUALITÉS L UTONOMIE BATERIE DÉPASSE ENFIN 1 JOURNEE D UTILISATION LES - RAS POUR LE MOMENT LE PRIX DE CE PORTABLE N EST PAS AUSSI LEGER QUE CELA MAIS BOULANGER RESTENT DANS LA MOYENNE DES PRIX BAS COMME SOUVENT  Avis complet  
298,5," C'est un excellent remplaçant pour mon GS6. L'écran donne une nouvelle dimension à l'utilisation d'un smartphone (j'ai du mal à utiliser d'autres tel maintenant), il y a aussi l'autonomie qui est excellente (une journée avec la 4G + le wifi + le Bluetooth + la géolocalisation + une luminosité a 75%), on a là un smartphone très haut de gamme (2017) qui sait être réactif. Au niveau des performances, je ne suis pas fan des jeux sur le PlayStore mais j'aime bien jouer à la psp avec son émulateur (ppsspp) celui tourne à merveille et ne bouffe presque rien de ma batterie. Enfin l'appareil photo est tout aussi excellent même en basse luminosité. L'appareil frontale est très bon aussi (fini la mauvaise qualité sur snapchat). L'absence du bouton physique sur la façade ne se fait pas ressentir grâce au ""force touch"" de Samsung implémenté à cet endroit. Le capteur d'empreinte se situe à l'arrière mais on s'y habitue très vite. La surcouche ajouté par Samsung est bien plus agréable que le TouchWizz d'avant et il permet une navigation fluide mais aussi personnalisable.  Avis complet  "
299,4," C'est un autre univers ;) C'est plus qu'un téléphone mobile. En bref, c'est excellent.  Avis complet  "
300,5, Tres bon produit obeis au doigt et l'oeil  Avis complet  
301,3," C est un très bon téléphone haut de gamme qui fais tout ce qu' on lui demande sans faillir à sa tâche. Attention car le téléphone en lui même est très fragile donc coque + étui de protection à prévoir en plus de l achat du téléphone. Petit soucis après 2 semaines d'utilisation, l'écran est devenu bleu d un coup pendant une utilisation rendant le téléphone inutilisable... Résultat minimum de 3 semaines de réparation au Sav darty pour un défaut d'usinage...  Avis complet  "
302,5," J'ai reçu le téléphone rapidement. Délai d'une semaine. Le téléphone était bien emballé. Le téléphone fonctionne très bien après 15 jours d'utilisation normale. Rien à dire en particulier à part que pour le moment, je ne regrette pas mon achat.  Avis complet  "
303,5," fluide, rapide, puissant . ecran est de super qualité un tres bel appareil mais pas ""donné""  Avis complet  "
304,5, Jadore ce telephone dommage que certaines appli ne sont pas encore faite pojr ce format decran  Avis complet  
305,4," Fluide rapide l'écran est sublime. Beaucoup de fonctionnalités pratiques. Les photos sont de bonne qualité. En mode selfies attention de ne pas bouger, image parfois flouté. Très bon téléphone et très classe.  Avis complet  "
306,4, Rien à dire de particulier sur l'achat. Je ne m'en suis pas encore servi car je viens de le recevoir mais de ce que je vois il est conforme à ma demande !!  Avis complet  
307,5," Ce smartphone est parfait : puissant, beau (il met 5 ans de retard au design des autres smartphones), facile à utiliser, les photos sont bluffantes, il y a plein d'options pour simplifier la vie de l'utilisateur, ultra personnalisable (contrairement à un iPhone). Les points faibles sont : la fragilité, on devient un peu parano tellement on a peur qu'il tombe (d'après des tests vus sur des sites externes) et l'autonomie (en gros 16h en utilisation moyenne et 12h en utilisation intensive. Aussi, l'assistant Bixby n'existe pas en français et est donc inutile pour l'instant.  Avis complet  "
308,5," Acheté en remplacement de mon 5S de la marque à la pomme, je recherchais un téléphone qui ne connaît pas de ralentissement, réalise de belles photos, propose une autonomie de 1 à 2 jours. Mon bilan après 3 semaines : - pas d inquiètude pour récupérer les données sur mon 5S, l application Samsung switch se charge de tout en connectant les 2 téléphones avec l adaptateur fournit, photos, sms, contact, applications proposées sur le google Play, il faut juste réaliser une sauvegarde du 5S sans mot de passe pour que l application puisse accéder au contenu du 5S, tuto trouvé sur la toile. - Esthétiquement le S8 est magnifique et l écran de toute beauté. - après un temps d adaptation, les systèmes d exploitation sont très similaires. - l autonomie est excellente, un jour en utilisation intensive et 2 jours en modérée (2 a 4 heures de surf et jeux journalier) - l Apn fait de très belle photo et vidéo, la colorimétrie est plus vive sur Samsung - enfin un téléphone qui mouline, ne ralentit pas et chauffe raisonnablement. - j étais inquiet pour que le s8 tienne dans la poche, mais il en est rien, il est moins large qu' un 5.5 pouce, c est le format idéal! - toute les applications ne sont pas encore compatibles avec le format de l écran, un peu de patience. - dernier point, j ai profité d une promo offrant 200 euros de remise et revendu mon 5s, j ai donc craqué et je ne regrette rien. Merci boulanger et merci pour les conseils en magasin.  Avis complet  "
309,5," très bon produit , plusieurs fonctions de verrouillage .  Avis complet  "
310,4, Le téléphone est magnifique. Le format est idéal. L'autonomie est correcte pour l'instant (plus d'une journée). Par contre quelques défauts : le tactile a une latence que je ressens comparé au galaxy s6. De plus l'écran courbé n'a pas que des avantages: les protections d'écran en verre trempé ne collent que par les bords donc le tactile va mal répondre et la protection va se décoller si vous mettez un etui trop protecteur.  Avis complet  
311,5, Super téléphone beau design avec super qualité d'image. Je suis très contente de mon achat.  Avis complet  
312,5," aucun problème pour cet achat , réception ds les temps , parfaitement emballé et téléphone impeccable  Avis complet  "
313,4," Présentation: très bien. Ligne presque trop épurée tellement cet appareil est fin . Qualité d'image très élevée. Utilisations pour les fonctions de base faciles et acquises rapidement. Par contre il y a un peu trop de fonctions ""avancées"" telles Bixby , authentifications biometriques et autres qui pour moi sont plutôt gadgets inutiles. Il est vrai que j'ai 73 ans et que je préfère que les choses soient simples. Un beau bijou de technologie tout de même.  Avis complet  "
314,5, Un smartphone ultime à l'écran fabuleux.  Avis complet  
315,5," Appareil au top , livraison très rapide et sans soucis .  Avis complet  "
316,5," Flagship certain mais pas sans petits défauts. Batterie un peu light, format du smartphone et de l'écran discutables mais le design, la puissance la prise en main compensent largement. La qualité de réception me semble exemplaire même chez Free. Reste pour le moment sans réponse la question de la solidité...et du coup(t) des réparations :) Enfin, Nougat arrivera-t-il à nous faire profiter pleinement et sereinement du S8 ? Merci Darty pour la promo ^^ Magic S8 !  Avis complet  "
317,5," Je suis très satisfaite de cet achat,je recommande totalement cet article qui fonctionne parfaitement sans aucun problème  Avis complet  "
318,4," Quel écran ! On s'approche de plus en plus du bordless complet avec ce Galaxy S8. Le format est spécial, ça ne pose pas de soucis particulier pour les application en général, sur les jeux je ne saurai dire (je ne joue pas sur smartphone) et pour les vidéos les seules ""compatible"" que j'ai pu voir sont des sample dédiés a ce type de format. Sinon, faut recadrer/croper via un petit raccourcis qui s'affiche brièvement à l'écran. Malgré ce crop, le rendu est du plus bel effet ! La surcouche est correct, sans réelles innovations majeurs comparé à Touchwiz. On a ici plus à faire à un lifting complet, un home personnalisable (on est quand même très loin des launcher type Nova) avec pas mal de thème complet (modifiant l'ensemble de la surcouche pas que le home) sur le store Samsung, beaucoup étant gratuit. Le tout fonctionne sans accroc. Le nombre d'application installé par défaut ayant été radicalement réduit, bon point. La dernière mis à jour intègre le ""full screen navigation"", la barre de navigation disparaît dans les application (mais pas sur le home), rendant la navigation encore plus immersive ! Bixby, difficile d'en juger à l'heure actuelle, une maj viens d'être déployé en France au moment ou j'écris ces mots, l'assistant vocal étant toujours indisponible en français. Prometteur, mais étant principalement compatible avec les application Samsung et quelque exceptions. Dommage, en attendant les prochaines mis à jour pour éventuellement voir si d'autres application seront compatible. En l'état, c'est raté pour moi. L'appareil photo est magnifique. Moi qui suis généralement allergique ou appareil photo mobile, je dois reconnaître que c'est maintenant bien fichu. Venant d'un Xperia Z3, je peux affirmé que le bond de performance comparé à cette génération est ahurissant. Le capteur d'empreinte mal positionné mais ça reste utilisable pour moi. Malheureusement, d'autre font mieux sur ce point avec un placement bien plus cohérent. Le gros point noir de ce S8 est sa fragilité. L'investissement dans un coque est indispensable dès le départ. L'autre soucis, c'est la protection écran : il faut faire très attention a ce que la vitre en verre (ou le film) ne soit pas trop large en fonction des coques. Bref, la galère à protéger. Je ne regrette pas mon achat, beau (c'est subjectif) et très agréable a utiliser au quotidien (sans révolutionner). Une étoile en moins pour la fragilité et la difficulté à protéger le smartphone.  Avis complet  "
319,5," A CE JOUR LE MEILLEUR APPAREIL CHEZ SAMSUNG, JE LE CONSEILLE FORTEMENT  Avis complet  "
320,5," Ce téléphone est juste super. Une fluidité imbattable sur tout type d'application. Aucun lag, et un appareil photo de qualité. Préférez l'achat chez Fnac pour la garantie de la qualité du produit. J'ai acheté mon s8 chez Fnac il y a deux semaines lors de la promo, et je ne regrette en rien! Livré très rapidement.  Avis complet  "
321,5," Beau design , la batterie tient bien.belle qualite d image et le son est bien pour regarder fes video.facile d utilité je ne changerais pas mon téléphone. Un peu chère mais ce sont les prix sur le marché  Avis complet  "
322,5, Conforme à ce que j'attendais de la marque. Content de mon achat.  Avis complet  
323,2, Tout est dans le titre .. La batterie du s8 que j'ai acheté me déçois Elle se décharge rapidement alors que j'ai une utilisation normal et non excessive de mon produit  Avis complet  
324,5, Téléphone cher mais vraiment top. Qualité de photo magnifique et autonomomie vraiment parfaite pour mon utilisation. Je passe du samsung galaxy s6 au s8... on voit clairement la différence et l'évolution.  Avis complet  
325,5," Je l'ai depuis un peu plus d'une semaine et je suis complètement satisfait. J'avais un nokia 930 avant et le rapatriement des contacts s'est avéré un peu difficile mais j'ai fini par y arriver. Le téléphone est sublime, fin et ergonomique. L'écran est également une merveille. Si vous hésitez, foncez ! Achat avec un vendeur partenaire GadgetsInfinity: Il y avait deux étiquettes ""Ne pas accepter si déchiré"" une intacte collée sur une déchirée, mais le produit ne présentait aucune marque d'usure. de plus, les délais de livraison n'ont pas été respectés (5 jours pour l'expédition au lieu de 2 annoncés).  Avis complet  "
326,4," Prise en main aisée, fluide Un peu déçu de la couleur moins flashie que ce que l'on pensais  Avis complet  "
327,5," Très bon produit, comme toujours à un prix exorbitant pour du haut de gamme mais qui tient ses promesses. Espérons qu'ils fonctionnent aussi bien dans 2 ans...  Avis complet  "
328,5," Très satisfait de mon achat, vendeur sérieux et livraison rapide, on peut acheter en toute confiance..  Avis complet  "
329,5," Bon produit, bonne qualité, bonne emballage, rien à redire.  Avis complet  "
330,5, Excellent produit. Il a toutes les qualités recherchés et très simple à utiliser.  Avis complet  
331,5, et un bon appareil photo de depanage  Avis complet  
332,5," Super design, fin avec les côtés incurvés, rapide, il répond à toutes mes attentes, j'adore.  Avis complet  "
333,5, Je recommande ce téléphone beau intuitif leger  Avis complet  
334,5," Reçu en temps record, bien emballé, que du positif !  Avis complet  "
335,5, Simple Rapide Top Très bon smartphone Je connaissais mieux iPhone et je ne suis pas déçue  Avis complet  
336,4, Bon produit dans la logique de ce que fait la marque  Avis complet  
337,4," Il est rapide, beau avec une bonne autonomie et une excellente qualité  Avis complet  "
338,5, J'hésitais depuis un bon moment à franchir le pas et c'est la promo avec le pack chargeur induction coque et protection d'écran (tous de la marque samsung) qui m'ont fait craqué. La prise en main demande un petit temps d'adaptation quand on a jamais eu de smartphone avec des bords incurvés. Je suis très satisfait de mon achat. Reste à voir dans le temps avec l'usure.  Avis complet  
339,5, Très bon smartphone Ce qui se fait de meilleur en ce milieu d'année 2017  Avis complet  
340,5," Tout est top pour ce téléphone, beaucoup d'évolutions (positives) par rapport au Galaxy S6 que je possédais avant! Rien à redire, Samsung a fait du très bon boulot! Seul bémol, le premier appareil que j'ai eu avait un sous-pixel mort, Fnac me l'a immédiatement remplacé!  Avis complet  "
341,5, Un bijou!! j'adore! en violet il est top!  Avis complet  
342,5," reception du colis en parfait état, repond à toutes mes attentes, merci  Avis complet  "
343,5," Téléphone très agréable à utiliser. L'écran est magnifique, le côté incurvé ne gène pas du tout la lecture. En termes d'encombrement, il est pour moi tout juste à la limite de ce qui me convient en termes de taille (je m'étais fixé une longueur de 150mm max). Je viens d'un téléphone pur Android et je trouve que le changement se fait bien même s'il est parfois difficile de s'y retrouver dans toutes les options Samsung. Le capteur d'empreintes apparait finalement assez naturellement sous le doigt. Je n'ai pas encore testé toutes les photos mais rien le capteur frontal est d'une qualité impressionnante. La batterie est un peu limite pour le téléphone de cette taille mais c'est bien mieux que ce que j'avais avant. La possibilité d'étendre la mémoire est un plus  Avis complet  "
344,5," Livraison rapide, matériel conforme et bien emballé, comme à chaque fois, rien à redire.  Avis complet  "
345,5," lors d'une periode speciale, le s8 vendu chez Darty avec le pack chargeur par induction, coques de protection à 600e, j'estime que c'est tres bon prix pour le moment. Commander sur le net, 2 heures apres je suis alle le recupere au magasin. c'est parfait rien à dire. Merci Darty.  Avis complet  "
346,5, Smartphone génial rien à dire rapide fluide jolie je ne regrette pas du tout mon choix :D si vous voulez la perfection le s8 est se qu'il vous faut ;)  Avis complet  
347,5," Je viens d'un Honor 7, qui hormis ça batterie qui m'a lâché faisait très bien l'affaire. l'écran de ce S8 m'a bluffé, en plein soleil on peu toujours voir très confortablement ce qui ce passe sur le tel. J'ai eu un peu de mal avec la prise en main au début car j'avais ma paume de la main sur les coté arrondi de l'écran mais ca part très vite! l'ecran amoled ne consomment beaucoup moins de batterie j'arrive a tenir quasiment 2j sans recharge en utilisation ""normal"" (Jeux + fb + messenger + texto + insta ...)  Avis complet  "
348,5," que dire... Dès qu'on l'a en main, il semble évident que c'est le smartphone qu'on recherchait. Il ne décoit pas !  Avis complet  "
349,5, Ce smartphone est juste parfait!  Avis complet  
350,5, Le designe un peu trop allongé ne me plaît pas trop mais le processeur est ce qui m'intéresse avant tout.  Avis complet  
351,5," Beau, fonctionnel, maniable, qualité photo irréprochable, etc...  Avis complet  "
